UTC Time,Local Time,City,Country Code,Timezone,AQI,CO,NO2,O3,PM10,PM25,SO2,Clouds,Precipitation,Pressure,Relative Humidity,Temperature,UV Index,Wind Speed
2025-01-01T00:00:00,2025-01-01 07:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,94,259.1,11.5,28.0,47.0,32.5,45.5,62,0.0,1017,87,20.2,1.2,0.8
2025-01-01T01:00:00,2025-01-01 08:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,162,222.2,10.35,42.7,96.9,77.5,52.0,58,0.0,1017,79,21.5,1.4,0.8
2025-01-01T02:00:00,2025-01-01 09:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,169,185.2,9.15,57.3,113.15,90.5,58.5,54,0.0,1017,72,22.7,1.7,0.8
2025-01-01T03:00:00,2025-01-01 10:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,160,148.2,8.0,72.0,91.25,73.0,65.0,50,0.0,1018,65,24.0,3.1,1.2
2025-01-01T04:00:00,2025-01-01 11:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,153,907.0,154.0,8.6,83.0,58.5,66.0,50,0.0,1017,62,25.0,4.2,0.66
2025-01-01T05:00:00,2025-01-01 12:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,121,806.0,154.0,11.9,69.0,43.5,63.0,50,0.0,1016,58,26.0,4.6,1.33
2025-01-01T06:00:00,2025-01-01 13:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,71,103.9,4.5,95.0,33.5,21.5,53.5,50,0.0,1015,55,27.0,4.7,2.0
2025-01-01T07:00:00,2025-01-01 14:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,88,102.3,4.5,96.3,36.9,29.5,51.0,41,0.0,1014,56,26.8,3.8,2.33
2025-01-01T08:00:00,2025-01-01 15:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,85,100.8,4.5,97.7,35.65,28.5,48.5,33,0.0,1014,57,26.7,1.9,2.66
2025-01-01T09:00:00,2025-01-01 16:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,88,99.2,4.5,99.0,36.9,29.5,46.0,25,0.0,1013,58,26.5,0.9,3.0
2025-01-01T10:00:00,2025-01-01 17:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,80,115.9,5.5,94.7,32.5,26.0,45.65,50,0.0,1014,66,25.2,1.5,3.0
2025-01-01T11:00:00,2025-01-01 18:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,85,132.7,6.5,90.3,35.65,28.5,45.35,75,0.0,1014,74,23.8,0.0,3.0
2025-01-01T12:00:00,2025-01-01 19:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,67,149.4,7.5,86.0,30.5,19.5,45.0,100,0.0,1015,84,22.5,0.0,3.0
2025-01-01T13:00:00,2025-01-01 20:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,108,151.5,7.15,86.3,48.15,38.5,43.15,100,0.0,1015,86,22.2,0.0,2.33
2025-01-01T14:00:00,2025-01-01 21:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,116,153.7,6.85,86.7,51.9,41.5,41.35,100,0.0,1016,88,22.0,0.0,1.66
2025-01-01T15:00:00,2025-01-01 22:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,118,155.8,6.5,87.0,53.15,42.5,39.5,100,0.0,1016,90,21.7,0.0,1.0
2025-01-01T16:00:00,2025-01-01 23:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,118,145.1,6.15,87.7,53.15,42.5,35.65,100,0.0,1016,91,21.7,0.0,1.0
2025-01-01T17:00:00,2025-01-02 00:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,118,134.4,5.85,88.3,53.15,42.5,31.85,100,0.0,1016,92,21.6,0.0,1.0
2025-01-01T18:00:00,2025-01-02 01:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,68,123.7,5.5,89.0,30.0,20.0,28.0,100,0.0,1016,93,21.6,0.0,1.0
2025-01-01T19:00:00,2025-01-02 02:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,118,132.5,5.5,85.7,53.15,42.5,27.15,100,0.0,1015,93,21.5,0.0,1.0
2025-01-01T20:00:00,2025-01-02 03:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,118,141.2,5.5,82.3,53.15,42.5,26.35,100,0.0,1015,93,21.3,0.0,1.0
2025-01-01T21:00:00,2025-01-02 04:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,116,150.0,5.5,79.0,51.9,41.5,25.5,100,0.0,1014,94,21.2,0.0,1.0
2025-01-01T22:00:00,2025-01-02 05:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,111,168.7,6.35,73.3,49.4,39.5,28.35,100,0.0,1015,93,21.1,0.0,1.0
2025-01-01T23:00:00,2025-01-02 06:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,111,187.3,7.15,67.7,49.4,39.5,31.15,100,0.0,1015,93,21.1,0.0,1.0
2025-01-02T00:00:00,2025-01-02 07:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,116,206.0,8.0,62.0,51.9,41.5,34.0,100,0.0,1016,93,21.0,0.8,1.0
2025-01-02T01:00:00,2025-01-02 08:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,96,193.0,8.0,67.0,43.4,33.34,40.35,91,0.0,1016,90,21.7,1.4,0.66
2025-01-02T02:00:00,2025-01-02 09:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,118,179.9,8.0,72.0,53.15,42.5,46.65,83,0.0,1017,88,22.5,1.8,0.33
2025-01-02T03:00:00,2025-01-02 10:00:00,Hoàn Kiếm,VN,Asia/Ho_Chi_Minh,61,166.9,8.0,77.0,26.5,17.0,53.0,75,0.0,1017,85,23.2,1.6,2.4
